Cell Name,Tile Name,Tile Path,Label,Label Int,Cell Label Int
Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1.png,Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_00.png,C:\Users\zubai\OneDrive - UNSW\UNSW\PhD\P1_Defect_Localisation\Tiled Localisation\Data\tiles_imgs_NoBusbar\Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_00.png,No Anomaly,0,1
Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1.png,Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_01.png,C:\Users\zubai\OneDrive - UNSW\UNSW\PhD\P1_Defect_Localisation\Tiled Localisation\Data\tiles_imgs_NoBusbar\Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_01.png,No Anomaly,0,1
Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1.png,Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_02.png,C:\Users\zubai\OneDrive - UNSW\UNSW\PhD\P1_Defect_Localisation\Tiled Localisation\Data\tiles_imgs_NoBusbar\Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_02.png,No Anomaly,0,1
Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1.png,Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_03.png,C:\Users\zubai\OneDrive - UNSW\UNSW\PhD\P1_Defect_Localisation\Tiled Localisation\Data\tiles_imgs_NoBusbar\Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_03.png,Finger Failure,1,1
Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1.png,Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_04.png,C:\Users\zubai\OneDrive - UNSW\UNSW\PhD\P1_Defect_Localisation\Tiled Localisation\Data\tiles_imgs_NoBusbar\Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_04.png,No Anomaly,0,1
Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1.png,Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_05.png,C:\Users\zubai\OneDrive - UNSW\UNSW\PhD\P1_Defect_Localisation\Tiled Localisation\Data\tiles_imgs_NoBusbar\Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_05.png,No Anomaly,0,1
Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1.png,Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_06.png,C:\Users\zubai\OneDrive - UNSW\UNSW\PhD\P1_Defect_Localisation\Tiled Localisation\Data\tiles_imgs_NoBusbar\Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_06.png,No Anomaly,0,1
Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1.png,Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_07.png,C:\Users\zubai\OneDrive - UNSW\UNSW\PhD\P1_Defect_Localisation\Tiled Localisation\Data\tiles_imgs_NoBusbar\Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_07.png,Finger Failure,1,1
Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1.png,Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_08.png,C:\Users\zubai\OneDrive - UNSW\UNSW\PhD\P1_Defect_Localisation\Tiled Localisation\Data\tiles_imgs_NoBusbar\Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_08.png,No Anomaly,0,1
Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1.png,Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_09.png,C:\Users\zubai\OneDrive - UNSW\UNSW\PhD\P1_Defect_Localisation\Tiled Localisation\Data\tiles_imgs_NoBusbar\Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_09.png,No Anomaly,0,1
Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1.png,Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_10.png,C:\Users\zubai\OneDrive - UNSW\UNSW\PhD\P1_Defect_Localisation\Tiled Localisation\Data\tiles_imgs_NoBusbar\Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_10.png,No Anomaly,0,1
Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1.png,Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_11.png,C:\Users\zubai\OneDrive - UNSW\UNSW\PhD\P1_Defect_Localisation\Tiled Localisation\Data\tiles_imgs_NoBusbar\Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_11.png,Finger Failure,1,1
Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1.png,Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_12.png,C:\Users\zubai\OneDrive - UNSW\UNSW\PhD\P1_Defect_Localisation\Tiled Localisation\Data\tiles_imgs_NoBusbar\Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_12.png,No Anomaly,0,1
Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1.png,Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_13.png,C:\Users\zubai\OneDrive - UNSW\UNSW\PhD\P1_Defect_Localisation\Tiled Localisation\Data\tiles_imgs_NoBusbar\Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_13.png,No Anomaly,0,1
Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1.png,Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_14.png,C:\Users\zubai\OneDrive - UNSW\UNSW\PhD\P1_Defect_Localisation\Tiled Localisation\Data\tiles_imgs_NoBusbar\Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_14.png,No Anomaly,0,1
Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1.png,Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_15.png,C:\Users\zubai\OneDrive - UNSW\UNSW\PhD\P1_Defect_Localisation\Tiled Localisation\Data\tiles_imgs_NoBusbar\Serie_1_ImageGS_-10_4081_Cell_Row10_Col_1_15.png,Finger Failure,1,1
Serie_1_ImageGS_-10_4081_Cell_Row10_Col_2.png,Serie_1_ImageGS_-10_4081_Cell_Row10_Col_2_00.png,C:\Users\zubai\OneDrive - UNSW\UNSW\PhD\P1_Defect_Localisation\Tiled Localisation\Data\tiles_imgs_NoBusbar\Serie_1_ImageGS_-10_4081_Cell_Row10_Col_2_00.png,No Anomaly,0,0
Serie_1_ImageGS_-10_4081_Cell_Row10_Col_2.png,Serie_1_ImageGS_-10_4081_Cell_Row10_Col_2_01.png,C:\Users\zubai\OneDrive - UNSW\UNSW\PhD\P1_Defect_Localisation\Tiled Localisation\Data\tiles_imgs_NoBusbar\Serie_1_ImageGS_-10_4081_Cell_Row10_Col_2_01.png,No Anomaly,0,0
Serie_1_ImageGS_-10_4081_Cell_Row10_Col_2.png,Serie_1_ImageGS_-10_4081_Cell_Row10_Col_2_02.png,C:\Users\zubai\OneDrive - UNSW\UNSW\PhD\P1_Defect_Localisation\Tiled Localisation\Data\tiles_imgs_NoBusbar\Serie_1_ImageGS_-10_4081_Cell_Row10_Col_2_02.png,No Anomaly,0,0
Serie_1_ImageGS_-10_4081_Cell_Row10_Col_2.png,Serie_1_ImageGS_-10_4081_Cell_Row10_Col_2_03.png,C:\Users\zubai\OneDrive - UNSW\UNSW\PhD\P1_Defect_Localisation\Tiled Localisation\Data\tiles_imgs_NoBusbar\Serie_1_ImageGS_-10_4081_Cell_Row10_Col_2_03.png,No Anomaly,0,0
Serie_1_ImageGS_-10_4081_Cell_Row10_Col_2.png,Serie_1_ImageGS_-10_4081_Cell_Row10_Col_2_04.png,C:\Users\zubai\OneDrive - UNSW\UNSW\PhD\P1_Defect_Localisation\Tiled Localisation\Data\tiles_imgs_NoBusbar\Serie_1_ImageGS_-10_4081_Cell_Row10_Col_2_04.png,No Anomaly,0,0
